response set access code,question.text,question.short_text,question.help_text,question.pick,question.reference_identifier,question.data_export_identifier,question.common_namespace,question.common_identifier,question.display_order,question.display_type,question.is_mandatory,question.display_width,question.custom_class,question.custom_renderer,answer.text,answer.short_text,answer.help_text,answer.weight,answer.response_class,answer.reference_identifier,answer.data_export_identifier,answer.common_namespace,answer.common_identifier,answer.display_order,answer.is_exclusive,answer.display_length,answer.custom_class,answer.custom_renderer,answer.default_value,answer.display_type,response.datetime_value,response.integer_value,response.float_value,response.unit,response.text_value,response.string_value,response.response_other,response.response_group,response.created_at,response.updated_at
hH8A_UI3vw,When was the first time you had sex?,,,any,26,"",,,1,default,false,,,,Oral Age: ,,,,string,o,"",,,2,false,,,,,default,,,,,,14,,,2013-09-03 16:47:52 UTC,2013-09-03 16:47:52 UTC
hH8A_UI3vw,When was the first time you had sex?,,,any,26,"",,,1,default,false,,,,Vaginal Age: ,,,,string,v,"",,,1,false,,,,,default,,,,,,12,,,2013-09-03 16:50:50 UTC,2013-09-03 16:50:50 UTC
